trial c/dMass c/dEcc 
bmass11_becc32 -2.067347 0.457143
bmass11_becc33 -2.067347 0.471429
bmass11_becc34 -2.067347 0.485714
bmass11_becc35 -2.067347 0.500000
bmass11_becc36 -2.067347 0.514286
bmass11_becc37 -2.067347 0.528571
bmass11_becc38 -2.067347 0.542857
bmass11_becc39 -2.067347 0.557143
bmass11_becc40 -2.067347 0.571429
bmass11_becc41 -2.067347 0.585714
bmass11_becc42 -2.067347 0.600000
bmass11_becc43 -2.067347 0.614286
bmass11_becc44 -2.067347 0.628571
bmass11_becc45 -2.067347 0.642857
bmass11_becc46 -2.067347 0.657143
bmass11_becc47 -2.067347 0.671429
bmass11_becc48 -2.067347 0.685714
bmass11_becc49 -2.067347 0.700000
bmass12_becc00 -2.173469 0.000000
bmass12_becc01 -2.173469 0.014286
bmass12_becc02 -2.173469 0.028571
bmass12_becc03 -2.173469 0.042857
bmass12_becc04 -2.173469 0.057143
bmass12_becc05 -2.173469 0.071429
bmass12_becc06 -2.173469 0.085714
bmass12_becc07 -2.173469 0.100000
bmass12_becc08 -2.173469 0.114286
bmass12_becc09 -2.173469 0.128571
bmass12_becc10 -2.173469 0.142857
bmass12_becc11 -2.173469 0.157143
bmass12_becc12 -2.173469 0.171429
bmass12_becc13 -2.173469 0.185714
bmass12_becc14 -2.173469 0.200000
bmass12_becc15 -2.173469 0.214286
bmass12_becc16 -2.173469 0.228571
bmass12_becc17 -2.173469 0.242857
bmass12_becc18 -2.173469 0.257143
bmass12_becc19 -2.173469 0.271429
bmass12_becc20 -2.173469 0.285714
bmass12_becc21 -2.173469 0.300000
bmass12_becc22 -2.173469 0.314286
bmass12_becc23 -2.173469 0.328571
bmass12_becc24 -2.173469 0.342857
bmass12_becc25 -2.173469 0.357143
bmass12_becc26 -2.173469 0.371429
bmass12_becc27 -2.173469 0.385714
bmass12_becc28 -2.173469 0.400000
bmass12_becc29 -2.173469 0.414286
bmass12_becc30 -2.173469 0.428571
bmass12_becc31 -2.173469 0.442857
bmass12_becc32 -2.173469 0.457143
bmass12_becc33 -2.173469 0.471429
bmass12_becc34 -2.173469 0.485714
bmass12_becc35 -2.173469 0.500000
bmass12_becc36 -2.173469 0.514286
bmass12_becc37 -2.173469 0.528571
bmass12_becc38 -2.173469 0.542857
bmass12_becc39 -2.173469 0.557143
bmass12_becc40 -2.173469 0.571429
bmass12_becc41 -2.173469 0.585714
bmass12_becc42 -2.173469 0.600000
bmass12_becc43 -2.173469 0.614286
bmass12_becc44 -2.173469 0.628571
bmass12_becc45 -2.173469 0.642857
bmass12_becc46 -2.173469 0.657143
bmass12_becc47 -2.173469 0.671429
bmass12_becc48 -2.173469 0.685714
bmass12_becc49 -2.173469 0.700000
bmass13_becc00 -2.279592 0.000000
bmass13_becc01 -2.279592 0.014286
bmass13_becc02 -2.279592 0.028571
bmass13_becc03 -2.279592 0.042857
bmass13_becc04 -2.279592 0.057143
bmass13_becc05 -2.279592 0.071429
bmass13_becc06 -2.279592 0.085714
bmass13_becc07 -2.279592 0.100000
bmass13_becc08 -2.279592 0.114286
bmass13_becc09 -2.279592 0.128571
bmass13_becc10 -2.279592 0.142857
bmass13_becc11 -2.279592 0.157143
bmass13_becc12 -2.279592 0.171429
bmass13_becc13 -2.279592 0.185714
bmass13_becc14 -2.279592 0.200000
bmass13_becc15 -2.279592 0.214286
bmass13_becc16 -2.279592 0.228571
bmass13_becc17 -2.279592 0.242857
bmass13_becc18 -2.279592 0.257143
bmass13_becc19 -2.279592 0.271429
bmass13_becc20 -2.279592 0.285714
bmass13_becc21 -2.279592 0.300000
bmass13_becc22 -2.279592 0.314286
bmass13_becc23 -2.279592 0.328571
bmass13_becc24 -2.279592 0.342857
bmass13_becc25 -2.279592 0.357143
bmass13_becc26 -2.279592 0.371429
bmass13_becc27 -2.279592 0.385714
bmass13_becc28 -2.279592 0.400000
bmass13_becc29 -2.279592 0.414286
bmass13_becc30 -2.279592 0.428571
bmass13_becc31 -2.279592 0.442857
bmass13_becc32 -2.279592 0.457143
bmass13_becc33 -2.279592 0.471429
bmass13_becc34 -2.279592 0.485714
bmass13_becc35 -2.279592 0.500000
bmass13_becc36 -2.279592 0.514286
bmass13_becc37 -2.279592 0.528571
bmass13_becc38 -2.279592 0.542857
bmass13_becc39 -2.279592 0.557143
bmass13_becc40 -2.279592 0.571429
bmass13_becc41 -2.279592 0.585714
bmass13_becc42 -2.279592 0.600000
bmass13_becc43 -2.279592 0.614286
bmass13_becc44 -2.279592 0.628571
