trial b/dMass b/dEcc 
bmass19_becc17 -3.172414 0.175862
bmass19_becc18 -3.172414 0.186207
bmass19_becc19 -3.172414 0.196552
bmass19_becc20 -3.172414 0.206897
bmass19_becc21 -3.172414 0.217241
bmass19_becc22 -3.172414 0.227586
bmass19_becc23 -3.172414 0.237931
bmass19_becc24 -3.172414 0.248276
bmass19_becc25 -3.172414 0.258621
bmass19_becc26 -3.172414 0.268966
bmass19_becc27 -3.172414 0.279310
bmass19_becc28 -3.172414 0.289655
bmass19_becc29 -3.172414 0.300000
bmass20_becc00 -3.255172 0.000000
bmass20_becc01 -3.255172 0.010345
bmass20_becc02 -3.255172 0.020690
bmass20_becc03 -3.255172 0.031034
bmass20_becc04 -3.255172 0.041379
bmass20_becc05 -3.255172 0.051724
bmass20_becc06 -3.255172 0.062069
bmass20_becc07 -3.255172 0.072414
bmass20_becc08 -3.255172 0.082759
bmass20_becc09 -3.255172 0.093103
bmass20_becc10 -3.255172 0.103448
bmass20_becc11 -3.255172 0.113793
bmass20_becc12 -3.255172 0.124138
bmass20_becc13 -3.255172 0.134483
bmass20_becc14 -3.255172 0.144828
bmass20_becc15 -3.255172 0.155172
bmass20_becc16 -3.255172 0.165517
bmass20_becc17 -3.255172 0.175862
bmass20_becc18 -3.255172 0.186207
bmass20_becc19 -3.255172 0.196552
bmass20_becc20 -3.255172 0.206897
bmass20_becc21 -3.255172 0.217241
bmass20_becc22 -3.255172 0.227586
bmass20_becc23 -3.255172 0.237931
bmass20_becc24 -3.255172 0.248276
bmass20_becc25 -3.255172 0.258621
bmass20_becc26 -3.255172 0.268966
bmass20_becc27 -3.255172 0.279310
bmass20_becc28 -3.255172 0.289655
bmass20_becc29 -3.255172 0.300000
bmass21_becc00 -3.337931 0.000000
bmass21_becc01 -3.337931 0.010345
bmass21_becc02 -3.337931 0.020690
bmass21_becc03 -3.337931 0.031034
bmass21_becc04 -3.337931 0.041379
bmass21_becc05 -3.337931 0.051724
bmass21_becc06 -3.337931 0.062069
bmass21_becc07 -3.337931 0.072414
bmass21_becc08 -3.337931 0.082759
bmass21_becc09 -3.337931 0.093103
bmass21_becc10 -3.337931 0.103448
bmass21_becc11 -3.337931 0.113793
bmass21_becc12 -3.337931 0.124138
bmass21_becc13 -3.337931 0.134483
bmass21_becc14 -3.337931 0.144828
bmass21_becc15 -3.337931 0.155172
bmass21_becc16 -3.337931 0.165517
bmass21_becc17 -3.337931 0.175862
bmass21_becc18 -3.337931 0.186207
bmass21_becc19 -3.337931 0.196552
bmass21_becc20 -3.337931 0.206897
bmass21_becc21 -3.337931 0.217241
bmass21_becc22 -3.337931 0.227586
bmass21_becc23 -3.337931 0.237931
bmass21_becc24 -3.337931 0.248276
bmass21_becc25 -3.337931 0.258621
bmass21_becc26 -3.337931 0.268966
bmass21_becc27 -3.337931 0.279310
bmass21_becc28 -3.337931 0.289655
bmass21_becc29 -3.337931 0.300000
bmass22_becc00 -3.420690 0.000000
bmass22_becc01 -3.420690 0.010345
bmass22_becc02 -3.420690 0.020690
bmass22_becc03 -3.420690 0.031034
bmass22_becc04 -3.420690 0.041379
bmass22_becc05 -3.420690 0.051724
bmass22_becc06 -3.420690 0.062069
bmass22_becc07 -3.420690 0.072414
bmass22_becc08 -3.420690 0.082759
bmass22_becc09 -3.420690 0.093103
bmass22_becc10 -3.420690 0.103448
bmass22_becc11 -3.420690 0.113793
bmass22_becc12 -3.420690 0.124138
bmass22_becc13 -3.420690 0.134483
bmass22_becc14 -3.420690 0.144828
bmass22_becc15 -3.420690 0.155172
bmass22_becc16 -3.420690 0.165517
bmass22_becc17 -3.420690 0.175862
bmass22_becc18 -3.420690 0.186207
bmass22_becc19 -3.420690 0.196552
bmass22_becc20 -3.420690 0.206897
bmass22_becc21 -3.420690 0.217241
bmass22_becc22 -3.420690 0.227586
bmass22_becc23 -3.420690 0.237931
bmass22_becc24 -3.420690 0.248276
bmass22_becc25 -3.420690 0.258621
bmass22_becc26 -3.420690 0.268966
bmass22_becc27 -3.420690 0.279310
bmass22_becc28 -3.420690 0.289655
bmass22_becc29 -3.420690 0.300000
bmass23_becc00 -3.503448 0.000000
bmass23_becc01 -3.503448 0.010345
bmass23_becc02 -3.503448 0.020690
bmass23_becc03 -3.503448 0.031034
bmass23_becc04 -3.503448 0.041379
